ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
7075798,2227,163,"2024-02-29T01:00:00.000+0100","2024-03-01T18:00:01.005+0100"
7026711,2227,104,"2024-02-23T01:00:00.000+0100","2024-02-23T06:00:01.013+0100"
7033100,2227,4250,"2024-02-23T01:00:00.000+0100","2024-02-24T06:00:01.197+0100"
7038880,2227,36047,"2024-02-24T01:00:00.000+0100","2024-02-25T04:30:01.313+0100"
7035008,2227,38,"2024-02-24T01:00:00.000+0100","2024-02-24T16:00:01.068+0100"
7072721,2227,780,"2024-02-29T01:00:00.000+0100","2024-03-01T06:00:01.166+0100"
7041366,2227,30,"2024-02-25T01:00:00.000+0100","2024-02-25T16:00:01.068+0100"
7069156,2227,59,"2024-02-29T01:00:00.000+0100","2024-02-29T18:00:01.061+0100"
7075799,2227,4158,"2024-03-01T01:00:00.000+0100","2024-03-01T18:00:01.025+0100"
7062471,2227,389,"2024-02-28T01:00:00.000+0100","2024-02-28T18:00:01.240+0100"
7045544,2227,6136,"2024-02-25T01:00:00.000+0100","2024-02-26T04:30:02.032+0100"
7045163,2227,14125,"2024-02-25T01:00:00.000+0100","2024-02-26T00:00:01.069+0100"
7072361,2227,18559,"2024-02-29T01:00:00.000+0100","2024-03-01T04:30:01.222+0100"
7041365,2227,141,"2024-02-24T01:00:00.000+0100","2024-02-25T16:00:01.047+0100"
7048120,2227,51,"2024-02-26T01:00:00.000+0100","2024-02-26T16:00:01.134+0100"
7086540,2227,4416,"2024-03-01T01:00:00.000+0100","2024-03-03T12:30:01.106+0100"
7088772,2227,295,"2024-03-03T01:00:00.000+0100","2024-03-03T18:00:00.955+0100"
7089856,2227,575,"2024-03-03T01:00:00.000+0100","2024-03-03T20:00:01.146+0100"
7019940,2227,884,"2024-02-22T01:00:00.000+0100","2024-02-22T04:30:02.137+0100"
7009855,2227,3695,"2024-02-20T01:00:00.000+0100","2024-02-20T16:00:01.108+0100"
7095696,2227,126,"2024-03-03T01:00:00.000+0100","2024-03-04T18:00:01.188+0100"
7096657,2227,1713,"2024-03-04T01:00:00.000+0100","2024-03-04T20:00:01.243+0100"
7092452,2227,323,"2024-03-03T01:00:00.000+0100","2024-03-04T06:00:01.113+0100"
7019939,2227,5421,"2024-02-21T01:00:00.000+0100","2024-02-22T04:30:02.116+0100"
